Tipo convocatoria;Id convocatoria;ccaa;prv;circunscripcion;municipio;distrito;candidatura;votos;votos validos;votos censo;votos candidaturas;tipo de representante;representantes
4;202305;;;;;;PARTIDO BARBANZA INDEPENDIENTE;2.794;0,01;0,01;0,01;Concejales;5
4;202305;;;;;;CACERES VIVA;2.783;0,01;0,01;0,01;Concejales;8
4;202305;;;;;;SOMOS MÁS;2.777;0,01;0,01;0,01;Concejales;0
4;202305;;;;;;MÁS MADRID-SOMOS POZUELO-IU;2.748;0,01;0,01;0,01;Concejales;1
4;202305;;;;;;MAS POR TELDE;2.732;0,01;0,01;0,01;Concejales;2
4;202305;;;;;;SADAMAIORÍA;2.722;0,01;0,01;0,01;Concejales;7
4;202305;;;;;;SOM CASTELLDEFELS;2.714;0,01;0,01;0,01;Concejales;3
4;202305;;;;;;FUTURO;2.710;0,01;0,01;0,01;Concejales;25
4;202305;;;;;;NOU MOVIMENT CIUTADÁ PER CAMBRILS;2.707;0,01;0,01;0,01;Concejales;6
4;202305;;;;;;CENTRATS EN NULES;2.693;0,01;0,01;0,01;Concejales;7
4;202305;;;;;;ALCALA NOS IMPORTA;2.682;0,01;0,01;0,01;Concejales;2
4;202305;;;;;;FUERTEVENTURA AVANZA;2.672;0,01;0,01;0,01;Concejales;4
4;202305;;;;;;VECINOS POR MAJADAHONDA;2.665;0,01;0,01;0,01;Concejales;2
4;202305;;;;;;PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA;2.649;0,01;0,01;0,01;Concejales;0
4;202305;;;;;;FALANGE ESPAÑOLA DE LAS J.O.N.S.;2.629;0,01;0,01;0,01;Concejales;0
4;202305;;;;;;GUZTIONTZAKO HERRIA;2.628;0,01;0,01;0,01;Concejales;6
4;202305;;;;;;VECINOS POR RIVAS-VACIAMADRID;2.625;0,01;0,01;0,01;Concejales;0
4;202305;;;;;;VALENCIA UNIDA;2.592;0,01;0,01;0,01;Concejales;2
4;202305;;;;;;100% ALHAURÍN;2.591;0,01;0,01;0,01;Concejales;6
4;202305;;;;;;ARA MONTBUI-LA VEU DELS VEÏNS DE MONTBUI;2.577;0,01;0,01;0,01;Concejales;11
4;202305;;;;;;PINTO AVANZA;2.560;0,01;0,01;0,01;Concejales;2
4;202305;;;;;;VECINOS POR SANSE-CIUDADANOS;2.553;0,01;0,01;0,01;Concejales;1
4;202305;;;;;;ALTERNATIVA ALOVERA;2.543;0,01;0,01;0,01;Concejales;8
4;202305;;;;;;PARTIDO DE LA PUEBLA;2.522;0,01;0,01;0,01;Concejales;8
4;202305;;;;;;CASTRO VERDE, ALTERNATIVA VERDE DE CASTRO URDIALES;2.521;0,01;0,01;0,01;Concejales;4
4;202305;;;;;;AGRUPACIÓN DE VECINOS DE SANTA LUCÍA DE TIRAJANA-PARTIDO POPULAR;2.516;0,01;0,01;0,01;Concejales;2
4;202305;;;;;;CIUTADANS PER ALBERIC;2.496;0,01;0,01;0,01;Concejales;9
4;202305;;;;;;PARTIDO CANNÁBICO LUZ VERDE;2.490;0,01;0,01;0,01;Concejales;2
4;202305;;;;;;PER TU;2.488;0,01;0,01;0,01;Concejales;32
4;202305;;;;;;PARTIDO POPULAR - PROYECTO SOMOS;2.487;0,01;0,01;0,01;Concejales;4
4;202305;;;;;;PSM MÉS PER MENORCA;2.485;0,01;0,01;0,01;Concejales;5
4;202305;;;;;;PARTIDO GALEGO;2.480;0,01;0,01;0,01;Concejales;6
4;202305;;;;;;TRANSFORMEM VILANOVA I LA GELTRU;2.478;0,01;0,01;0,01;Concejales;3
4;202305;;;;;;MÁS MADRID - IZQUIERDA UNIDA;2.461;0,01;0,01;0,01;Concejales;1
4;202305;;;;;;ESPAÑA VACIADA- PARTIDO CASTELLANO-TIERRA COMUNERA;2.438;0,01;0,01;0,01;Concejales;36
